ABBREVIATION,TITLE
J. ELECTROMAGN. WAVES APPL.,JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS
J. ELECTRON MICROSC.,JOURNAL OF ELECTRON MICROSCOPY
J. ELECTRON MICROSC. TECH.,JOURNAL OF ELECTRON MICROSCOPY TECHNIQUE
J. ELECTRON.,JOURNAL OF ELECTRONICS (CHINA)
J. ELECTRON. IMAGING,JOURNAL OF ELECTRONIC IMAGING
J. ELECTRON. MATER.,JOURNAL OF ELECTRONIC MATERIALS
J. ELECTRON. PACKAG.,JOURNAL OF ELECTRONIC PACKAGING
J. ELECTRON. SCI. TECHNOL.,JOURNAL OF ELECTRONIC SCIENCE AND TECHNOLOGY
J. ELECTRON. SPECTROSC. RELAT. PHENOM.,JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA
J. ELECTRON. TEST.,JOURNAL OF ELECTRONIC TESTING
J. ELECTROSTAT.,JOURNAL OF ELECTROSTATICS
J. ELEMENTOL.,JOURNAL OF ELEMENTOLOGY
J. ELISHA MITCHELL SCI. SOC.,JOURNAL OF THE ELISHA MITCHELL SCIENTIFIC SOCIETY
J. EMPIRICAL RES. HUM. RES. ETHICS,JOURNAL OF EMPIRICAL RESEARCH ON HUMAN RESEARCH ETHICS
J. ENDOCR. SOC.,JOURNAL OF THE ENDOCRINE SOCIETY
J. ENDOCRINOL.,JOURNAL OF ENDOCRINOLOGY
J. ENDOTOXIN RES.,JOURNAL OF ENDOTOXIN RESEARCH
J. ENERGETIC MATER.,JOURNAL OF ENERGETIC MATERIALS
J. ENERGY,JOURNAL OF ENERGY
J. ENERGY CHEM.,JOURNAL OF ENERGY CHEMISTRY
J. ENERGY ENG.,JOURNAL OF ENERGY ENGINEERING
J. ENERGY INST.,JOURNAL OF THE ENERGY INSTITUTE
J. ENERGY RES. TECHNOL.,JOURNAL OF ENERGY RESOURCES TECHNOLOGY
J. ENERGY STORAGE,JOURNAL OF ENERGY STORAGE
J. ENG.,JOURNAL OF ENGINEERING
J. ENG.,JOURNAL OF ENGINEERING
J. ENG. DES.,JOURNAL OF ENGINEERING DESIGN
J. ENG. EDUC.,JOURNAL OF ENGINEERING EDUCATION
J. ENG. FIBERS FABR.,JOURNAL OF ENGINEERED FIBERS AND FABRICS
J. ENG. GAS TURBINES POWER,JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER
J. ENG. MATER. TECHNOL.,JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY
J. ENG. MATH.,JOURNAL OF ENGINEERING MATHEMATICS
J. ENG. MECH.,JOURNAL OF ENGINEERING MECHANICS
J. ENG. PHYS. THERMOPHYS.,JOURNAL OF ENGINEERING PHYSICS AND THERMOPHYSICS
J. ENG. SCI. MED. DIAGN. THER.,JOURNAL OF ENGINEERING AND SCIENCE IN MEDICAL DIAGNOSTICS AND THERAPY
J. ENG. SUSTAINABLE BUILD. CITIES,JOURNAL OF ENGINEERING FOR SUSTAINABLE BUILDINGS AND CITIES
J. ENG. TECH. MANAGE.,JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT
J. ENG. THERMOPHYS.,JOURNAL OF ENGINEERING THERMOPHYSICS
J. ENHANCED HEAT TRANSFER,JOURNAL OF ENHANCED HEAT TRANSFER
J. ENTERP. TRANSFORM.,JOURNAL OF ENTERPRISE TRANSFORMATION
J. ENTOMOL. RES.,JOURNAL OF ENTOMOLOGICAL RESEARCH
J. ENTOMOL. SCI.,JOURNAL OF ENTOMOLOGICAL SCIENCE
J. ENTOMOL. SER. A. GEN. ENTOMOL.,"JOURNAL OF ENTOMOLOGY SERIES A, GENERAL ENTOMOLOGY"
J. ENTOMOL. SER. B. TAXON.,"JOURNAL OF ENTOMOLOGY SERIES B, TAXONOMY"
J. ENVIRON. BIOL.,JOURNAL OF ENVIRONMENTAL BIOLOGY
J. ENVIRON. CHEM. ENG.,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING
J. ENVIRON. ECON. MANAGE.,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT
J. ENVIRON. ENG.,JOURNAL OF ENVIRONMENTAL ENGINEERING
J. ENVIRON. ENG. GEOPHYS.,JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS
J. ENVIRON. ENG. LANDSCAPE MANAGE.,JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT
J. ENVIRON. ENG. SCI.,JOURNAL OF ENVIRONMENTAL ENGINEERING AND SCIENCE
J. ENVIRON. HEALTH,JOURNAL OF ENVIRONMENTAL HEALTH
J. ENVIRON. MANAGE.,JOURNAL OF ENVIRONMENTAL MANAGEMENT
J. ENVIRON. MATER. SUSTAINABLE ENERGY,JOURNAL OF ENVIRONMENTAL MATERIALS AND SUSTAINABLE ENERGY
J. ENVIRON. MONIT.,JOURNAL OF ENVIRONMENTAL MONITORING
J. ENVIRON. PATHOL. TOXICOL.,JOURNAL OF ENVIRONMENTAL PATHOLOGY AND TOXICOLOGY
J. ENVIRON. PATHOL. TOXICOL. ONCOL.,"JOURNAL OF ENVIRONMENTAL PATHOLOGY, TOXICOLOGY AND ONCOLOGY"
J. ENVIRON. PLANN. MANAGE.,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT
J. ENVIRON. PLANN. POLICY MANAGE.,JOURNAL OF ENVIRONMENTAL POLICY & PLANNING
J. ENVIRON. PROT. ECOL.,JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY
J. ENVIRON. PSYCHOL.,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY
J. ENVIRON. QUAL.,JOURNAL OF ENVIRONMENTAL QUALITY
J. ENVIRON. RADIOACT.,JOURNAL OF ENVIRONMENTAL RADIOACTIVITY
J. ENVIRON. SCI.,JOURNAL OF ENVIRONMENTAL SCIENCES
J. ENVIRON. SCI. HEALTH. PART A ENVIRON. SCI. HEALTH PART A ENVIRON. SCI. ENG,"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH, PART A: ENVIRONMENTAL SCIENCE AND ENGINEERING"
J. ENVIRON. SCI. HEALTH. PART A TOXIC/HAZARD. SUBST. ENVIRON. ENG.,"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH, PART A: TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING"
"J. ENVIRON. SCI. HEALTH., PART A","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH, PART A ENVIRONMENTAL SCIENCE"
"J. ENVIRON. SCI. HEALTH., PART A ENVIRON. SCI. ENG.TOXIC HAZARD. SUBST. CONTROL","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH, PART A: ENVIRONMENTAL SCIENCE AND ENGINEERING & TOXIC AND HAZARDOUS SUBSTANCE CONTROL"
"J. ENVIRON. SCI. HEALTH., PART B","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH, PART B: PESTICIDES, FOOD CONTAMINANTS, AND AGRICULTURAL WASTES"
"J. ENVIRON. SCI. HEALTH., PART C ENVIRON. CARCINOG. ECOTOXICOL. REV.","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH, PART C: ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS"
"J. ENVIRON. SCI. HEALTH., PART C ENVIRON. CARCINOG. REV.","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH, PART C: ENVIRONMENTAL CARCINOGENESIS REVIEWS"
"J. ENVIRON. SCI. HEALTH., PART C ENVIRON. HEALTH SCI.","JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH, PART C: ENVIRONMENTAL HEALTH SCIENCES"
J. ENVIRON. SCI. TECHNOL.,JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY
J. ENVIRON. SOLUTIONS OIL GAS MIN.,"JOURNAL OF ENVIRONMENTAL SOLUTIONS FOR OIL, GAS, AND MINING"
J. ENZYM INHIB.,JOURNAL OF ENZYME INHIBITION
J. ENZYME INHIB. MED. CHEM.,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY
J. EQUINE VET. SCI.,JOURNAL OF EQUINE VETERINARY SCIENCE
J. ESSENT. OIL BEAR. PLANTS,JOURNAL OF ESSENTIAL OIL BEARING PLANTS
J. ESSENT. OIL BEAR. PLANTS,JOURNAL OF ESSENTIAL OIL-BEARING PLANTS
J. ESSENT. OIL RES.,JOURNAL OF ESSENTIAL OIL RESEARCH
J. ETHNOBIOL.,JOURNAL OF ETHNOBIOLOGY
J. ETHNOBIOL. ETHNOMED.,JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE
J. ETHNOPHARMACOL.,JOURNAL OF ETHNOPHARMACOLOGY
J. ETHOL.,JOURNAL OF ETHOLOGY
J. EUKARYOTIC MICROBIOL.,JOURNAL OF EUKARYOTIC MICROBIOLOGY
J. EUR. CERAM. SOC.,JOURNAL OF THE EUROPEAN CERAMIC SOCIETY
J. EUR. HYDROL.,JOURNAL EUROPEEN D'HYDROLOGIE
J. EUR. LANDSCAPE,JOURNAL OF EUROPEAN LANDSCAPE
J. EUR. MATH. SOC.,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY
J. EUR. OPT. SOC. PART A,JOURNAL OF THE EUROPEAN OPTICAL SOCIETY PART A
J. EUR. OPT. SOC. PART B,JOURNAL OF THE EUROPEAN OPTICAL SOCIETY PART B
J. EUR. OPT. SOC.-RAPID PUBL.,JOURNAL OF THE EUROPEAN OPTICAL SOCIETY-RAPID PUBLICATIONS
J. EVIDENCE QUAL. HEALTH CARE,JOURNAL OF EVIDENCE AND QUALITY IN HEALTH CARE
J. EVOL. BIOCHEM. PHYSIOL.,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY\
J. EVOL. BIOL.,JOURNAL OF EVOLUTIONARY BIOLOGY
J. EVOL. EQUATIONS,JOURNAL OF EVOLUTION EQUATIONS
J. EXP. ANIM. SCI,JOURNAL OF EXPERIMENTAL ANIMAL SCIENCE
J. EXP. BIOL.,JOURNAL OF EXPERIMENTAL BIOLOGY
J. EXP. BOT.,JOURNAL OF EXPERIMENTAL BOTANY
J. EXP. CLIN. CANCER RES.,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH
J. EXP. MAR. BIOL. ECOL.,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY
J. EXP. MED.,JOURNAL OF EXPERIMENTAL MEDICINE
J. EXP. NANOSCI.,JOURNAL OF EXPERIMENTAL NANOSCIENCE
J. EXP. NEUROSCI.,JOURNAL OF EXPERIMENTAL NEUROSCIENCE
J. EXP. PATHOL.,JOURNAL OF EXPERIMENTAL PATHOLOGY
J. EXP. PSYCHOL. ANIM. LEARN. COGNIT.,JOURNAL OF EXPERIMENTAL PSYCHOLOGY. ANIMAL LEARNING AND COGNITION
J. EXP. THEOR. ARTIF. INTELL.,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE
J. EXP. THEOR. PHYS.,JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS
J. EXP. ZOOL.,JOURNAL OF EXPERIMENTAL ZOOLOGY
J. EXP. ZOOL. PART A,"JOURNAL OF EXPERIMENTAL ZOOLOGY PART A, ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY"
J. EXP. ZOOL. PART A: COMP. EXP. BIOL.,"JOURNAL OF EXPERIMENTAL ZOOLOGY PART A, COMPARATIVE EXPERIMENTAL BIOLOGY"
J. EXP. ZOOL. PART A: ECOL. GENET. PHYSIOL.,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A: ECOLOGICAL GENETICS AND PHYSIOLOGY
J. EXP. ZOOL. PART A: ECOL. INTEGR. PHYSIOL.,"JOURNAL OF EXPERIMENTAL ZOOLOGY PART A, ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY"
J. EXP. ZOOL. PART B,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B MOLECULAR AND DEVELOPMENTAL EVOLUTION
J. EXPOSURE ANAL. ENVIRON. EPIDEMIOL.,JOURNAL OF EXPOSURE ANALYSIS AND ENVIRONMENT EPIDEMIOLOGY
J. EXPOSURE SCI. ENVIRON. EPIDEMIOL.,JOURNAL OF EXPOSURE SCIENCE & ENVIRONMENTAL EPIDEMIOLOGY
J. EXTRACELL. VESICLES,JOURNAL OF EXTRACELLULAR VESICLES
J. FACADE DES. ENG.,JOURNAL OF FACADE DESIGN AND ENGINEERING
J. FAIL. ANAL. PREV.,JOURNAL OF FAILURE ANALYSIS AND PREVENTION
J. FELINE MED. SURG.,JOURNAL OF FELINE MEDICINE AND SURGERY
J. FELINE MED. SURG. OPEN REP.,JOURNAL OF FELINE MEDICINE AND SURGERY OPEN REPORTS
J. FERMENT. BIOENG.,JOURNAL OF FERMENTATION AND BIOENGINEERING
J. FERMENT. TECHNOL.,JOURNAL OF FERMENTATION TECHNOLOGY
J. FIBER BIOENG. INF.,JOURNAL OF FIBER BIOENGINEERING AND INFORMATICS
J. FIBER SCI. TECHNOL.,JOURNAL OF FIBER SCIENCE AND TECHNOLOGY
J. FIELD ARCHAEOL.,JOURNAL OF FIELD ARCHAEOLOGY
J. FIELD ORNITH.,JOURNAL OF FIELD ORNITHOLOGY
J. FIELD ROB.,JOURNAL OF FIELD ROBOTICS
J. FIRE SCI.,JOURNAL OF FIRE SCIENCES
J. FIRE. PROT. ENG.,JOURNAL OF FIRE PROTECTION ENGINEERING
J. FISH BIOL.,JOURNAL OF FISH BIOLOGY
J. FISH DIS.,JOURNAL OF FISH DISEASES
J. FISH WILDL. MANAGE.,JOURNAL OF FISH AND WILDLIFE MANAGEMENT
J. FISH. AQUAT. SCI.,JOURNAL OF FISHERIES AND AQUATIC SCIENCE
J. FISH. RES. BOARD CAN.,JOURNAL OF THE FISHERIES RESEARCH BOARD OF CANADA
J. FIXED POINT THEORY APPL.,JOURNAL OF FIXED POINT THEORY AND APPLICATIONS
J. FLOOD RISK MANAGE.,JOURNAL OF FLOOD RISK MANAGEMENT
J. FLOW CHEM.,JOURNAL OF FLOW CHEMISTRY
J. FLOW VISUALIZATION IMAGE PROCESS.,JOURNAL OF FLOW VISUALIZATION AND IMAGE PROCESSING
J. FLUID MECH.,JOURNAL OF FLUID MECHANICS
J. FLUIDS ENG.,JOURNAL OF FLUIDS ENGINEERING
J. FLUIDS STRUCT.,JOURNAL OF FLUIDS AND STRUCTURES
J. FLUORESC.,JOURNAL OF FLUORESCENCE
J. FLUORINE CHEM.,JOURNAL OF FLUORINE CHEMISTRY
J. FOOD AGRIC. ENVIRON.,"JOURNAL OF FOOD, AGRICULTURE AND ENVIRONMENT"
J. FOOD AGRIC. ENVIRON.,"JOURNAL OF FOOD, AGRICULTURE & ENVIRONMENT"
J. FOOD BIOCHEM.,JOURNAL OF FOOD BIOCHEMISTRY
J. FOOD COMPOS. ANAL.,JOURNAL OF FOOD COMPOSITION AND ANALYSIS
J. FOOD DRUG ANAL.,JOURNAL OF FOOD AND DRUG ANALYSIS
J. FOOD ENG.,JOURNAL OF FOOD ENGINEERING
J. FOOD LIPIDS,JOURNAL OF FOOD LIPIDS
J. FOOD MEAS. CHARACT.,JOURNAL OF FOOD MEASUREMENT AND CHARACTERIZATION
J. FOOD PROCESS ENG,JOURNAL OF FOOD PROCESS ENGINEERING
J. FOOD PROCESS. PRESERV.,JOURNAL OF FOOD PROCESSING AND PRESERVATION
J. FOOD PROT.,JOURNAL OF FOOD PROTECTION
J. FOOD QUAL.,JOURNAL OF FOOD QUALITY
J. FOOD SAF.,JOURNAL OF FOOD SAFETY
J. FOOD SAF. FOOD QUAL.,JOURNAL OF FOOD SAFETY AND FOOD QUALITY
J. FOOD SCI.,JOURNAL OF FOOD SCIENCE
J. FOOD SCI. EDUC.,JOURNAL OF FOOD SCIENCE EDUCATION
J. FOOD SCI. TECHNOL.,JOURNAL OF FOOD SCIENCE AND TECHNOLOGY
J. FOOD TECHNOL.,JOURNAL OF FOOD TECHNOLOGY
J. FOR.,JOURNAL OF FORESTRY
J. FOR. ECON.,JOURNAL OF FOREST ECONOMICS
J. FOR. RES.,JOURNAL OF FORESTRY RESEARCH
J. FOR. RES.,JOURNAL OF FOREST RESEARCH
J. FORAMINEFERAL RES.,JOURNAL OF FORAMINEFERAL RESEARCH
J. FORECASTING,JOURNAL OF FORECASTING
J. FORENSIC DENT. SCI.,JOURNAL OF FORENSIC DENTAL SCIENCES
J. FORENSIC LEGAL MED.,JOURNAL OF FORENSIC AND LEGAL MEDICINE
J. FORENSIC MED.,JOURNAL OF FORENSIC MEDICINE
J. FORENSIC MED. TOXICOL.,JOURNAL OF FORENSIC MEDICINE AND TOXICOLOGY
J. FORENSIC NEUROPSYCHOL.,JOURNAL OF FORENSIC NEUROPSYCHOLOGY
J. FORENSIC PSYCHIATRY PSYCHOL.,JOURNAL OF FORENSIC PSYCHIATRY & PSYCHOLOGY
J. FORENSIC RADIOL. IMAGING,JOURNAL OF FORENSIC RADIOLOGY AND IMAGING
J. FORENSIC SCI.,JOURNAL OF FORENSIC SCIENCE
J. FORENSIC SCI. SOC.,JOURNAL OF THE FORENSIC SCIENCE SOCIETY
J. FRACTAL GEOM.,JOURNAL OF FRACTAL GEOMETRY
J. FRANKLIN INST-. ENG. APPL. MATH.,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS
J. FRANKLIN INST.,JOURNAL OF THE FRANKLIN INSTITUTE
J. FREE RADICALS BIOL. MED.,JOURNAL OF FREE RADICALS IN BIOLOGY & MEDICINE
J. FRESHWATER ECOL.,JOURNAL OF FRESHWATER ECOLOGY
J. FRESHWATER FISH,JOURNAL OF FRESHWATER FISH
J. FRICT. WEAR,JOURNAL OF FRICTION AND WEAR
J. FUEL CELL SCI. TECHNOL.,JOURNAL OF FUEL CELL SCIENCE AND TECHNOLOGY
J. FUEL CHEM. TECHNOL.,JOURNAL OF FUEL CHEMISTRY AND TECHNOLOGY
J. FUNCT. ANAL.,JOURNAL OF FUNCTIONAL ANALYSIS
J. FUNCT. FOODS,JOURNAL OF FUNCTIONAL FOODS
J. FUNCT. PROGRAM.,JOURNAL OF FUNCTIONAL PROGRAMMING
J. FUNCT. SPACES,JOURNAL OF FUNCTION SPACES
J. FUNGI,JOURNAL OF FUNGI
J. FUSION ENERGY,JOURNAL OF FUSION ENERGY
J. GASBELEUCHT. VERW. BELEUCHTUNGSARTEN WASSERVERSORG.,JOURNAL FUR GASBELEUCHTUNG UND VERWANDTE BELEUCHTUNGSARTEN SOWIE FUR WASSERVERSORGUNG
J. GEMMOL.,JOURNAL OF GEMMOLOGY
J. GEN. APPL. MICROBIOL.,JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY
J. GEN. MICROBIOL.,JOURNAL OF GENERAL MICROBIOLOGY
J. GEN. PHYSIOL.,JOURNAL OF GENERAL PHYSIOLOGY
J. GEN. VIROL.,JOURNAL OF GENERAL VIROLOGY
J. GENE MED.,JOURNAL OF GENE MEDICINE
J. GENET.,JOURNAL OF GENETICS
J. GENET. COUNS.,JOURNAL OF GENETIC COUNSELING
J. GENET. ENG. BIOTECHNOL.,JOURNAL OF GENETIC ENGINEERING AND BIOTECHNOLOGY
J. GENET. GENOMICS,JOURNAL OF GENETICS AND GENOMICS
J. GEO-ENG. SCI.,JOURNAL OF GEO-ENGINEERING SCIENCES
J. GEO-ENG. SCI.,JOURNAL OF GEO-ENGINEERING SCIENCES
J. GEOCHEM. EXPLOR.,JOURNAL OF GEOCHEMICAL EXPLORATION
J. GEOD.,JOURNAL OF GEODESY
J. GEODETIC SCI.,JOURNAL OF GEODETIC SCIENCE
J. GEODYN.,JOURNAL OF GEODYNAMICS
J. GEOG. SCI.,JOURNAL OF GEOGRAPHICAL SCIENCES
J. GEOGR.,JOURNAL OF GEOGRAPHY
J. GEOGR. ENVIRON. EARTH SCI. INT.,"JOURNAL OF GEOGRAPHY, ENVIRONMENT AND EARTH SCIENCE INTERNATIONAL"
J. GEOL.,JOURNAL OF GEOLOGY
J. GEOL. EDUC.,JOURNAL OF GEOLOGICAL EDUCATION
J. GEOL. RES.,JOURNAL OF GEOLOGICAL RESEARCH
"J. GEOL. SOC. (LONDON, U.K.)","JOURNAL OF THE GEOLOGICAL SOCIETY (LONDON, UNITED KINGDOM)"
J. GEOL. SOC. AUST.,JOURNAL OF THE GEOLOGICAL SOCIETY OF AUSTRALIA
J. GEOL. SOC. CHINA,JOURNAL OF THE GEOLOGICAL SOCIETY OF CHINA
J. GEOL. SOC. INDIA,JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA
J. GEOL. SOC. JAM.,JOURNAL OF THE GEOLOGICAL SOCIETY OF JAMAICA
J. GEOL. SOC. LONDON,JOURNAL OF THE GEOLOGICAL SOCIETY OF LONDON
J. GEOM. ANAL.,JOURNAL OF GEOMETRIC ANALYSIS
J. GEOM. PHYS.,JOURNAL OF GEOMETRY AND PHYSICS
J. GEOMAGN. GEOELEC.,JOURNAL OF GEOMAGNETISM AND GEOELECTRICITY
J. GEOPHYS.,JOURNAL OF GEOPHYSICS
J. GEOPHYS. ENG.,JOURNAL OF GEOPHYSICS AND ENGINEERING
J. GEOPHYS. RES.,JOURNAL OF GEOPHYSICAL RESEARCH
J. GEOPHYS. RES. A: SPACE PHYS.,"JOURNAL OF GEOPHYSICAL RESEARCH, A: SPACE PHYSICS"
J. GEOPHYS. RES. B: SOLID EARTH,"JOURNAL OF GEOPHYSICAL RESEARCH, B: SOLID EARTH"
J. GEOPHYS. RES. C: OCEANS,"JOURNAL OF GEOPHYSICAL RESEARCH, C: OCEANS"
J. GEOPHYS. RES. D: ATMOS.,"JOURNAL OF GEOPHYSICAL RESEARCH, D: ATMOSPHERES"
J. GEOPHYS. RES. E: PLANETS,"JOURNAL OF GEOPHYSICAL RESEARCH, E: PLANETS"
J. GEOPHYS. RES. F: EARTH SURF.,"JOURNAL OF GEOPHYSICAL RESEARCH, F: EARTH SURFACE"
J. GEOPHYS. RES. G: BIOGEOSCI.,"JOURNAL OF GEOPHYSICAL RESEARCH, G: BIOGEOSCIENCES"
J. GEOPHYS. RES.: ATMOS.,JOURNAL OF GEOPHYSICAL RESEARCH: ATMOSPHERES
J. GEOPHYS. RES.: BIOGEOSCI.,JOURNAL OF GEOPHYSICAL RESEARCH: BIOGEOSCIENCES
J. GEOPHYS. RES.: EARTH SURF.,JOURNAL OF GEOPHYSICAL RESEARCH: EARTH SURFACE
J. GEOPHYS. RES.: OCEANS,JOURNAL OF GEOPHYSICAL RESEARCH: OCEANS
J. GEOPHYS. RES.: PLANETS,JOURNAL OF GEOPHYSICAL RESEARCH: PLANETS
J. GEOPHYS. RES.: SOLID EARTH,JOURNAL OF GEOPHYSICAL RESEARCH: SOLID EARTH
J. GEOPHYS. RES.: SPACE PHYS.,JOURNAL OF GEOPHYSICAL RESEARCH: SPACE PHYSICS
J. GEOSCI.,JOURNAL OF GEOSCIENCES
J. GEOSCI. EDUC.,JOURNAL OF GEOSCIENCE EDUCATION
J. GEOTECH. GEOENVIRON. ENG.,JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING
J. GHANA SCI. ASSOC.,JOURNAL OF THE GHANA SCIENCE ASSOCIATION
J. GINSENG RES.,JOURNAL OF GINSENG RESEARCH
J. GLACIOL.,JOURNAL OF GLACIOLOGY
J. GLOBAL ANTIMICROB. RESIST.,JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE
J. GLOBAL CHANGE DATA DISCOVERY,JOURNAL OF GLOBAL CHANGE DATA & DISCOVERY
J. GLOBAL ONCOL.,JOURNAL OF GLOBAL ONCOLOGY
J. GLOBAL OPTIM.,JOURNAL OF GLOBAL OPTIMIZATION
J. GRAPH THEORY,JOURNAL OF GRAPH THEORY
J. GREAT LAKES RES.,JOURNAL OF GREAT LAKES RESEARCH
J. HARD TISSUE BIOL.,JOURNAL OF HARD TISSUE BIOLOGY
J. HAZARD. MATER.,JOURNAL OF HAZARDOUS MATERIALS
J. HAZARD. MATER. LETT.,JOURNAL OF HAZARDOUS MATERIALS LETTERS
J. HAZARD. TOXIC RADIOACT. WASTE,"JOURNAL OF HAZARDOUS, TOXIC, AND RADIOACTIVE WASTE"
J. HEALTH POPUL. NUTR.,"JOURNAL OF HEALTH, POPULATION AND NUTRITION"
J. HEALTHCARE ENG.,JOURNAL OF HEALTHCARE ENGINEERING
J. HEAT RECOVERY SYST.,JOURNAL OF HEAT RECOVERY SYSTEMS
J. HEAT TRANSFER,JOURNAL OF HEAT TRANSFER
J. HEAT TREAT.,JOURNAL OF HEAT TREATING
J. HELMINTHOL.,JOURNAL OF HELMINTHOLOGY
J. HERB. MED.,JOURNAL OF HERBAL MEDICINE
J. HERBS SPICES MED PLANTS,JOURNAL OF HERBS SPICES & MEDICINAL PLANTS
J. HERPETOL.,JOURNAL OF HERPETOLOGY
J. HERPETOL. MED. SURG.,JOURNAL OF HERPETOLOGICAL MEDICINE AND SURGERY
J. HETEROCYCL. CHEM.,JOURNAL OF HETEROCYCLIC CHEMISTRY
J. HIGH ENERGY ASTROPHYS.,JOURNAL OF HIGH ENERGY ASTROPHYSICS
J. HIGH ENERGY PHYS.,JOURNAL OF HIGH ENERGY PHYSICS
J. HIGH SPEED NETWORKS,JOURNAL OF HIGH SPEED NETWORKS
J. HIGH TECHNOL. MANAGE. RES.,JOURNAL OF HIGH TECHNOLOGY MANAGEMENT RESEARCH
J. HIGH. RESOLUT. CHROMATOGR.,JOURNAL OF HIGH RESOLUTION CHROMATOGRAPHY
J. HIGHWAY TRANSP. RES. DEV.,JOURNAL OF HIGHWAY AND TRANSPORTATION RESEARCH AND DEVELOPMENT (ENGLISH EDITION)
J. HIST. ASTRON.,JOURNAL FOR THE HISTORY OF ASTRONOMY
J. HIST. NEUROSCI.,JOURNAL OF THE HISTORY OF THE NEUROSCIENCES
J. HISTOCHEM. CYTOCHEM.,JOURNAL OF HISTOCHEMISTRY AND CYTOCHEMISTRY
J. HISTOTECHNOL.,JOURNAL OF HISTOTECHNOLOGY
J. HOLOGR. SPECKLE,JOURNAL OF HOLOGRAPHY AND SPECKLE
J. HORTIC. SCI. BIOTECHNOL.,JOURNAL OF HORTICULTURAL SCIENCE AND BIOTECHNOLOGY
J. HOUS. BUILT ENVIRON.,JOURNAL OF HOUSING AND THE BUILT ENVIRONMENT
J. HUM. ECOL.,JOURNAL OF HUMAN ECOLOGY
J. HUM. EVOL.,JOURNAL OF HUMAN EVOLUTION
J. HUM. GENET.,JOURNAL OF HUMAN GENETICS
J. HUM. HYPERTENS.,JOURNAL OF HUMAN HYPERTENSION
J. HUM. NUTR. DIET.,JOURNAL OF HUMAN NUTRITION AND DIETETICS
J. HUNTINGTON'S DIS.,JOURNAL OF HUNTINGTON'S DISEASE
J. HYDRAUL. ENG.,JOURNAL OF HYDRAULIC ENGINEERING
J. HYDRAUL. RES.,JOURNAL OF HYDRAULIC RESEARCH
J. HYDRO-ENVIRON. RES.,JOURNAL OF HYDRO-ENVIRONMENT RESEARCH
J. HYDRODYN.,JOURNAL OF HYDRODYNAMICS
J. HYDRODYN. SER. B,"JOURNAL OF HYDRODYNAMICS, SERIES B"
J. HYDROINF.,JOURNAL OF HYDROINFORMATICS
J. HYDROL.,JOURNAL OF HYDROLOGY
J. HYDROL. ENG.,JOURNAL OF HYDROLOGIC ENGINEERING
J. HYDROL. HYDROMECH.,JOURNAL OF HYDROLOGY AND HYDROMECHANICS
J. HYDROL. X,JOURNAL OF HYDROLOGY X
J. HYDROL.: REG. STUD.,JOURNAL OF HYDROLOGY: REGIONAL STUDIES
